Machinery ID,Age (years),Repair Time (hours),Repair Frequency,Corrective Spare Part Cost ($),Corrective Labor Cost ($),Preventive Spare Part Cost ($),Preventive Labor Cost ($),Total Spare Part Cost ($),Total Labor Cost ($),Overall Condition,Replacement Decision
1,11,24,3,1289,115,455,30,1744,145,13.3,Not Replace
2,12,34,4,1045,121,473,46,1518,167,17,Replace
3,6,39,5,1056,148,373,41,1429,189,15.7,Replace
4,12,6,3,1469,115,425,43,1894,158,8.4,Not Replace
5,4,15,5,1825,130,498,49,2323,179,7.5,Not Replace
6,4,30,5,1244,127,321,50,1565,177,12,Not Replace
7,11,5,3,1100,105,460,35,1560,140,7.6,Not Replace
8,1,15,2,1301,148,496,38,1797,186,5.4,Not Replace
9,5,10,1,1647,120,382,44,2029,164,5.7,Not Replace
10,5,27,2,1186,129,316,39,1502,168,11,Not Replace
11,14,14,4,1379,114,484,43,1863,157,12,Not Replace
12,10,20,1,1561,135,483,47,2044,182,11.2,Not Replace
13,1,24,5,1430,134,400,40,1830,174,8.7,Not Replace
14,7,17,3,1270,102,349,50,1619,152,9.2,Not Replace
15,1,19,2,1490,107,395,35,1885,142,6.6,Not Replace
16,10,24,1,1939,133,401,38,2340,171,12.4,Not Replace
17,2,33,3,1754,130,467,30,2221,160,11.5,Not Replace
18,4,7,1,1332,106,300,41,1632,147,4.3,Not Replace
19,10,24,5,1081,109,436,39,1517,148,13.2,Not Replace
20,6,10,4,1929,127,318,45,2247,172,6.8,Not Replace
21,7,21,3,1207,116,319,42,1526,158,10.4,Not Replace
22,3,38,1,1444,113,475,45,1919,158,13.1,Not Replace
23,5,29,2,1089,101,364,46,1453,147,11.6,Not Replace
24,5,13,3,1254,117,309,40,1563,157,7,Not Replace
25,4,36,3,1755,147,366,41,2121,188,13.4,Not Replace
26,2,27,3,1961,105,485,43,2446,148,9.7,Not Replace
27,6,10,3,1219,150,326,30,1545,180,6.6,Not Replace
28,6,24,5,1538,120,470,47,2008,167,11.2,Not Replace
29,11,30,5,1340,125,383,44,1723,169,15.5,Replace
30,3,20,3,1815,127,385,40,2200,167,8.1,Not Replace
31,4,27,3,1681,145,374,36,2055,181,10.7,Not Replace
32,5,10,3,1223,129,373,48,1596,177,6.1,Not Replace
33,8,11,4,1748,131,457,33,2205,164,8.1,Not Replace
34,13,12,5,1065,103,459,37,1524,140,11.1,Not Replace
35,7,9,1,1173,102,443,41,1616,143,6.4,Not Replace
36,9,12,3,1747,138,380,48,2127,186,8.7,Not Replace
37,12,8,4,1713,100,386,38,2099,138,9.2,Not Replace
38,5,40,5,1696,121,447,35,2143,156,15.5,Replace
39,6,20,5,1121,132,369,32,1490,164,10,Not Replace
40,3,7,3,1960,127,399,50,2359,177,4.2,Not Replace
41,4,18,2,1281,125,327,40,1608,165,7.8,Not Replace
42,15,25,5,1657,122,439,31,2096,153,16,Replace
43,12,30,3,1155,111,365,46,1520,157,15.6,Replace
44,1,23,4,1801,116,495,46,2296,162,8.2,Not Replace
45,11,37,5,1417,106,491,46,1908,152,17.6,Replace
46,11,19,1,1167,108,402,38,1569,146,11.4,Not Replace
47,2,14,4,1849,125,337,48,2186,173,6,Not Replace
48,6,16,4,1218,122,347,48,1565,170,8.6,Not Replace
49,10,18,2,1861,129,487,40,2348,169,10.8,Not Replace
50,5,36,2,1259,109,369,30,1628,139,13.7,Not Replace
51,12,35,2,1703,120,463,45,2166,165,16.9,Replace
52,7,7,3,1339,136,362,46,1701,182,6.2,Not Replace
53,3,26,5,1243,147,322,50,1565,197,10.3,Not Replace
54,10,26,5,1575,112,472,31,2047,143,13.8,Not Replace
55,7,32,2,1378,120,405,35,1783,155,13.5,Not Replace
56,9,12,1,1896,105,431,48,2327,153,8.3,Not Replace
57,4,39,5,1441,125,454,47,1895,172,14.7,Not Replace
58,6,12,2,1413,107,424,32,1837,139,7,Not Replace
59,4,29,3,1183,150,394,30,1577,180,11.3,Not Replace
60,7,15,4,1892,141,335,32,2227,173,8.8,Not Replace
61,1,10,2,1188,149,475,42,1663,191,3.9,Not Replace
62,11,10,2,1028,142,457,46,1485,188,8.9,Not Replace
63,5,21,3,1804,128,340,34,2144,162,9.4,Not Replace
64,6,25,2,1528,121,415,31,1943,152,10.9,Not Replace
65,9,12,5,1933,150,468,38,2401,188,9.1,Not Replace
66,13,40,2,1174,135,303,37,1477,172,18.9,Replace
67,11,8,1,1290,120,412,36,1702,156,8.1,Not Replace
68,5,34,2,1376,120,469,38,1845,158,13.1,Not Replace
69,11,28,3,1951,132,403,34,2354,166,14.5,Not Replace
70,9,31,3,1905,114,434,48,2339,162,14.4,Not Replace
71,5,18,1,1294,150,453,42,1747,192,8.1,Not Replace
72,10,14,3,1794,143,318,41,2112,184,9.8,Not Replace
73,7,7,3,1699,125,381,49,2080,174,6.2,Not Replace
74,15,26,3,1615,104,337,35,1952,139,15.9,Replace
75,1,10,3,1548,128,456,30,2004,158,4.1,Not Replace
76,7,7,2,1603,126,419,36,2022,162,6,Not Replace
77,14,32,3,1432,137,332,31,1764,168,17.2,Replace
78,4,32,5,1345,134,459,30,1804,164,12.6,Not Replace
79,12,22,2,1602,146,490,43,2092,189,13,Not Replace
80,1,28,5,1009,148,314,36,1323,184,9.9,Not Replace
81,9,34,1,1054,128,363,38,1417,166,14.9,Not Replace
82,8,31,3,1322,103,382,42,1704,145,13.9,Not Replace
83,12,25,4,1808,121,460,45,2268,166,14.3,Not Replace
84,11,31,1,1774,103,349,49,2123,152,15,Not Replace
85,13,12,1,1237,147,351,35,1588,182,10.3,Not Replace
86,11,28,4,1759,115,465,45,2224,160,14.7,Not Replace
87,14,13,2,1553,118,341,42,1894,160,11.3,Not Replace
88,10,10,1,1634,142,428,38,2062,180,8.2,Not Replace
89,3,22,5,1770,119,397,41,2167,160,9.1,Not Replace
90,11,6,4,1900,117,323,38,2223,155,8.1,Not Replace
91,12,17,3,1748,122,444,40,2192,162,11.7,Not Replace
92,3,15,1,1979,114,424,36,2403,150,6.2,Not Replace
93,13,16,4,1174,115,314,40,1488,155,12.1,Not Replace
94,7,26,1,1318,106,365,45,1683,151,11.5,Not Replace
95,10,39,5,1554,130,338,48,1892,178,17.7,Replace
96,5,26,3,1767,136,438,45,2205,181,10.9,Not Replace
97,4,24,3,1565,114,383,37,1948,151,9.8,Not Replace
98,15,23,3,1465,101,375,32,1840,133,15,Not Replace
99,10,10,1,1375,104,423,44,1798,148,8.2,Not Replace
100,7,20,2,1701,110,308,48,2009,158,9.9,Not Replace
